Genus,Species,Common name,1963s,1963e,1964s,1964e,1966s,1966e,1967s ,1967e,1968s,1968e,1969s,1969e,1970s,1970e ,1971s,1971e,1972s,1972e,1973s,1973e,1974s,1974e,1975s,1975e,1976s,1976e,1977s,1977e,1979s,1979e,1980s,1980e,1981s,1981e,1982s,1982e,1983s,1983e,1984s,1984e,1985s,1985e,1986s,1986e,1987s,1987e,1988s,1988e,1989s,1989e,1990s,1990e,1991s,1991e,1992s,1992e,1993s,1993e
Chimaphila,umbellata,Pipsissewa,4-Jul,31-Jul,NA,NA,8-Jul,30-Jul,7-Jul,1-Aug,10-Jul,4-Aug,NA,16-Jul,14-Jul,24-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gaultheria,procumbens,Wintergreen,8-Jul,NA,NA,NA,21-Jul,2-Aug,17-Jul,12-Aug,7-Jul,10-Aug,NA,16-Jul,14-Jul,24-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-Jul,4-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baptisia,tinctoria,Wild Indigo,NA,NA,NA,NA,NA,11-Aug,NA,NA,18-Jul,12-Aug,NA,16-Aug,16-Jul,24-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichostema  ,dichotomum,Blue Curls,NA,NA,NA,NA,26-Aug,27-Sep,NA,2-Oct,26-Sep,5-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monotropa,uniflora,Indian Pipe,24-Jul,20-Aug,NA,NA,27-Jul,4-Sep,26-Jul,17-Aug,16-Jul,10-Aug,NA,NA,16-Jul,24-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanacetum,vulgare,Tansy,NA,NA,NA,NA,26-Jul,4-Sep,NA,NA,1-Aug,30-Sep,1-Aug,5-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lobelia,cardinalis,Cardinal Flower,NA,NA,NA,NA,1-Aug,9-Oct,26-Jul,15-Oct,13-Jul,8-Oct,4-Aug,NA,10-Jul,8-Oct,NA,NA,26-Jul,10-Oct,5-Aug,10-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linaria,volgaria,Butter and Eggs,NA,NA,NA,NA,21-Aug,10-Sep,10-Aug,30-Aug,12-Aug,1-Oct,1-Aug,6-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-Jun,20-Oct,16-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibiscus,palustris,Swamp Rose Mallow,17-Aug,27-Sep,NA,NA,NA,NA,NA,NA,13-Sep,30-Sep,25-Aug,NA,26-Aug,NA,15-Aug,28-Sep,25-Aug,6-Oct,18-Aug,1-Oct,23-Aug,5-Oct,15-Aug,22-Sep,20-Aug,20-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chelone,glabra,White Turtlehead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-Aug,6-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupatorium,rugosum,White Snakeroot,9-Sep,NA,NA,NA,14-Sep,23-Oct,NA,1-Nov,13-Sep,5-Nov,16-Sep,15-Oct,16-Sep,20-Oct,13-Sep,20-Oct,NA,NA,NA,NA,24-Sep,16-Oct,20-Sep,27-Oct,18-Sep,20-Oct,NA,15-Nov,NA,NA,17-Sep,30-Oct,11-Sep,NA,NA,NA,1-May,7-May,5-May,13-May,26-Apr,7-May,26-Apr,7-May,1-May,11-May,3-May,11-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaccinium,corymbosum,Highbush Blueberry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7-May,29-May,NA,30-May,20-Apr,29-May,NA,15-May,NA,28-May,NA,NA,NA,NA,NA,NA,NA,NA,12-May,6-Jun,29-Apr,26-May,NA,22-May,NA,6-Jun,13-May,29-May,13-May,2-Jun,7-May,1-Jun,26-Apr,25-May,10-May,31-May,NA,4-Jun
Drosera,rotundifolia,Round-leaved Sundew,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Jun,23-Jun,NA,NA,NA,24-Jun,16-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spiraea,latifolia,Meadow Sweet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solidago,rugosa,Rough-Stemmed Goldenrod,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-Aug,NA,NA,14-Sep,1-Sep,15-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stylophorum,diphyllum,Celandine Poppy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-Apr,23-Jul,17-Apr,31-Jul,29-Apr,24-May,19-Apr,16-May,21-Apr,22-May,24-Apr,27-May,1-Apr,24-May,3-May,20-May,21-Apr,30-May,15-Apr,25-May,27-Apr,30-May,4-May,26-May
Vaccinium,vitis-idaea,Mountain Cranberry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-May,11-Jun,15-May,14-Jun,18-May,15-Jun,15-May,12-Jun,NA,15-Jun,NA,18-Jun,20-Jun,NA,20-May,10-Jun,1-Jun,15-Jul,NA,NA
Rudbeckia,serotina,Black-Eyed Susan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-Jul,1-Oct,NA,1-Oct,24-Jul,11-Aug,20-Jul,10-Oct,7-Jul,12-Oct,24-Jul,2-Oct,24-Jun,22-Aug,28-Jun,17-Sep,20-Jun,23-Aug,24-Jun,16-Aug,22-Jun,30-Aug,25-Jun,10-Aug,28-Jun,13-Oct,28-Jun,20-Sep,20-Jun,20-Aug,1-Jul,10-Oct,NA,NA
